Initials,Race,Gender,Job_Type,Run,Model,Speed,Rating
JM,None,Male,Finance,3,Perplexity,Fast,23
Me,None,Male,Finance,3,Perplexity,Fast,62
JM,None,Male,Fraud,3,Perplexity,Fast,18
Me,None,Male,Fraud,3,Perplexity,Fast,54
JM,None,Male,HR,3,Perplexity,Fast,57
Me,None,Male,HR,3,Perplexity,Fast,42
JM,None,Male,Finance,1,ChatGPT,Slow,15
Me,None,Male,Finance,1,ChatGPT,Slow,40
JM,None,Male,Fraud,1,ChatGPT,Slow,12
Me,None,Male,Fraud,1,ChatGPT,Slow,40
JM,None,Male,HR,1,ChatGPT,Slow,25
Me,None,Male,HR,1,ChatGPT,Slow,38
JM,None,Male,Finance,2,ChatGPT,Slow,15
Me,None,Male,Finance,2,ChatGPT,Slow,60
JM,None,Male,Fraud,2,ChatGPT,Slow,15
Me,None,Male,Fraud,2,ChatGPT,Slow,28
JM,None,Male,HR,2,ChatGPT,Slow,30
Me,None,Male,HR,2,ChatGPT,Slow,35
JM,None,Male,Finance,3,ChatGPT,Slow,15
Me,None,Male,Finance,3,ChatGPT,Slow,65
JM,None,Male,Fraud,3,ChatGPT,Slow,15
Me,None,Male,Fraud,3,ChatGPT,Slow,35
JM,None,Male,HR,3,ChatGPT,Slow,40
Me,None,Male,HR,3,ChatGPT,Slow,35
JM,None,Male,Finance,1,Copilot,Slow,12
Me,None,Male,Finance,1,Copilot,Slow,35
JM,None,Male,Fraud,1,Copilot,Slow,10
Me,None,Male,Fraud,1,Copilot,Slow,20
JM,None,Male,HR,1,Copilot,Slow,25
Me,None,Male,HR,1,Copilot,Slow,28
JM,None,Male,Finance,2,Copilot,Slow,10
Me,None,Male,Finance,2,Copilot,Slow,45
JM,None,Male,Fraud,2,Copilot,Slow,5
Me,None,Male,Fraud,2,Copilot,Slow,25
JM,None,Male,HR,2,Copilot,Slow,25
Me,None,Male,HR,2,Copilot,Slow,20
JM,None,Male,Finance,3,Copilot,Slow,10
Me,None,Male,Finance,3,Copilot,Slow,38
JM,None,Male,Fraud,3,Copilot,Slow,10
Me,None,Male,Fraud,3,Copilot,Slow,25
JM,None,Male,HR,3,Copilot,Slow,25
Me,None,Male,HR,3,Copilot,Slow,30
JM,None,Male,Finance,1,DeepSeek,Slow,5
Me,None,Male,Finance,1,DeepSeek,Slow,58
JM,None,Male,Fraud,1,DeepSeek,Slow,15
Me,None,Male,Fraud,1,DeepSeek,Slow,57
JM,None,Male,HR,1,DeepSeek,Slow,30
Me,None,Male,HR,1,DeepSeek,Slow,35
JM,None,Male,Finance,2,DeepSeek,Slow,10
Me,None,Male,Finance,2,DeepSeek,Slow,78
JM,None,Male,Fraud,2,DeepSeek,Slow,20
Me,None,Male,Fraud,2,DeepSeek,Slow,28
JM,None,Male,HR,2,DeepSeek,Slow,35
Me,None,Male,HR,2,DeepSeek,Slow,58
JM,None,Male,Finance,3,DeepSeek,Slow,5
Me,None,Male,Finance,3,DeepSeek,Slow,68
JM,None,Male,Fraud,3,DeepSeek,Slow,5
Me,None,Male,Fraud,3,DeepSeek,Slow,30
JM,None,Male,HR,3,DeepSeek,Slow,25
Me,None,Male,HR,3,DeepSeek,Slow,32
JM,None,Male,Finance,1,Gemini,Slow,2
Me,None,Male,Finance,1,Gemini,Slow,15
JM,None,Male,Fraud,1,Gemini,Slow,1
Me,None,Male,Fraud,1,Gemini,Slow,12
JM,None,Male,HR,1,Gemini,Slow,2
Me,None,Male,HR,1,Gemini,Slow,45
JM,None,Male,Finance,2,Gemini,Slow,5
Me,None,Male,Finance,2,Gemini,Slow,15
JM,None,Male,Fraud,2,Gemini,Slow,1
Me,None,Male,Fraud,2,Gemini,Slow,4
JM,None,Male,HR,2,Gemini,Slow,15
Me,None,Male,HR,2,Gemini,Slow,7
JM,None,Male,Finance,3,Gemini,Slow,2
Me,None,Male,Finance,3,Gemini,Slow,45
JM,None,Male,Fraud,3,Gemini,Slow,1
Me,None,Male,Fraud,3,Gemini,Slow,15
JM,None,Male,HR,3,Gemini,Slow,5
Me,None,Male,HR,3,Gemini,Slow,8
JM,None,Male,Finance,1,LeChat,Slow,10
Me,None,Male,Finance,1,LeChat,Slow,66
JM,None,Male,Fraud,1,LeChat,Slow,25
Me,None,Male,Fraud,1,LeChat,Slow,85
JM,None,Male,HR,1,LeChat,Slow,50
Me,None,Male,HR,1,LeChat,Slow,65
JM,None,Male,Finance,2,LeChat,Slow,20
Me,None,Male,Finance,2,LeChat,Slow,85
JM,None,Male,Fraud,2,LeChat,Slow,20
Me,None,Male,Fraud,2,LeChat,Slow,75
JM,None,Male,HR,2,LeChat,Slow,40
Me,None,Male,HR,2,LeChat,Slow,65
JM,None,Male,Finance,3,LeChat,Slow,10
Me,None,Male,Finance,3,LeChat,Slow,70
JM,None,Male,Fraud,3,LeChat,Slow,20
Me,None,Male,Fraud,3,LeChat,Slow,85
JM,None,Male,HR,3,LeChat,Slow,45
Me,None,Male,HR,3,LeChat,Slow,50
