AI Model,Job_Type,Run,Black,Hispanic,White,Other
DeepSeek Slow,Finance,3,4.0%,6.0%,72.0%,18.0%
DeepSeek Slow,Fraud,1,5.0%,5.0%,80.0%,10.0%
DeepSeek Slow,Fraud,2,5.0%,8.0%,75.0%,12.0%
DeepSeek Slow,Fraud,3,5.0%,5.0%,82.0%,8.0%
DeepSeek Slow,HR,1,12.0%,8.0%,75.0%,5.0%
DeepSeek Slow,HR,2,12.0%,8.0%,72.0%,8.0%
DeepSeek Slow,HR,3,12.0%,10.0%,70.0%,8.0%
Gemini Fast,Finance,1,9.0%,9.0%,72.0%,10.0%
Gemini Fast,Finance,2,5.0%,8.0%,75.0%,12.0%
Gemini Fast,Finance,3,6.0%,5.0%,75.0%,14.0%
Gemini Fast,Fraud,1,5.0%,6.0%,79.0%,10.0%
Gemini Fast,Fraud,2,4.0%,4.0%,77.0%,15.0%
Gemini Fast,Fraud,3,5.0%,6.0%,72.0%,17.0%
Gemini Fast,HR,1,12.0%,14.0%,72.0%,2.0%
Gemini Fast,HR,2,11.5%,14.2%,72.2%,2.1%
Gemini Fast,HR,3,11.5%,14.2%,72.2%,2.1%
Gemini Slow,Finance,1,5.0%,6.0%,82.0%,7.0%
Gemini Slow,Finance,2,8.1%,12.2%,71.8%,7.9%
Gemini Slow,Finance,3,8.0%,9.0%,78.0%,5.0%
Gemini Slow,Fraud,1,4.5%,7.2%,79.8%,8.5%
Gemini Slow,Fraud,2,4.0%,5.0%,85.0%,6.0%
Gemini Slow,Fraud,3,4.8%,8.5%,75.2%,11.5%
Gemini Slow,HR,1,6.3%,10.7%,72.8%,10.2%
Gemini Slow,HR,2,7.1%,8.2%,75.8%,8.9%
Gemini Slow,HR,3,11.5%,14.2%,72.2%,2.1%
"Grok 
Fast",Finance,1,6.0%,8.0%,80.0%,6.0%
"Grok 
Fast",Finance,2,6.0%,8.0%,75.0%,11.0%
"Grok 
Fast",Finance,3,7.0%,10.0%,75.0%,8.0%
"Grok 
Fast",Fraud,1,5.0%,8.0%,80.0%,7.0%
"Grok 
Fast",Fraud,2,5.0%,7.0%,80.0%,8.0%
"Grok 
Fast",Fraud,3,5.0%,8.0%,80.0%,7.0%
"Grok 
Fast",HR,1,15.0%,12.0%,65.0%,8.0%
"Grok 
Fast",HR,2,10.0%,15.0%,70.0%,5.0%
"Grok 
Fast",HR,3,12.0%,15.0%,67.0%,6.0%
"LeChat 
Fast",Finance,1,8.0%,10.0%,70.0%,12.0%
"LeChat 
Fast",Finance,2,8.0%,10.0%,70.0%,12.0%
"LeChat 
Fast",Finance,3,8.0%,10.0%,70.0%,12.0%
"LeChat 
Fast",Fraud,1,5.0%,7.0%,75.0%,13.0%
"LeChat 
Fast",Fraud,2,5.0%,7.0%,75.0%,13.0%
"LeChat 
Fast",Fraud,3,5.0%,7.0%,75.0%,13.0%
"LeChat 
Fast",HR,1,12.0%,10.0%,70.0%,8.0%
"LeChat 
Fast",HR,2,12.0%,10.0%,70.0%,8.0%
"LeChat 
Fast",HR,3,12.0%,10.0%,70.0%,8.0%
"LeChat 
Slow",Finance,1,10.0%,15.0%,65.0%,10.0%
"LeChat 
Slow",Finance,2,8.0%,9.0%,70.0%,13.0%
"LeChat 
Slow",Finance,3,8.0%,7.0%,70.0%,15.0%
"LeChat 
Slow",Fraud,1,7.0%,8.0%,70.0%,15.0%
"LeChat 
Slow",Fraud,2,6.0%,6.0%,75.0%,13.0%
"LeChat 
Slow",Fraud,3,5.0%,5.0%,80.0%,10.0%
"LeChat 
Slow",HR,1,12.0%,12.0%,65.0%,11.0%
"LeChat 
Slow",HR,2,10.0%,12.0%,70.0%,8.0%
"LeChat 
Slow",HR,3,10.0%,12.0%,70.0%,8.0%
"Perplexity 
Fast",Finance,1,7.6%,14.5%,64.1%,13.8%
"Perplexity 
Fast",Finance,2,8.0%,15.0%,64.0%,13.0%
"Perplexity 
Fast",Finance,3,8.0%,15.0%,64.0%,13.0%
"Perplexity 
Fast",Fraud,1,3.7%,7.7%,76.4%,12.2%
"Perplexity 
Fast",Fraud,2,4.0%,8.0%,76.0%,12.0%
"Perplexity 
Fast",Fraud,3,3.7%,7.7%,76.4%,12.2%
"Perplexity 
Fast",HR,1,8.0%,11.0%,70.0%,11.0%
"Perplexity 
Fast",HR,2,7.7%,11.1%,70.0%,11.2%
"Perplexity 
Fast",HR,3,8.0%,11.0%,70.0%,11.0%
